locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLAMIPOM_00001	CDS	657				hypothetical protein
OLAMIPOM_00002	CDS	324				hypothetical protein
OLAMIPOM_00003	CDS	831	tcyA		COG0834	L-cystine-binding protein TcyA
OLAMIPOM_00004	CDS	855	metQ		COG1464	D-methionine-binding lipoprotein MetQ
OLAMIPOM_00005	CDS	1374	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
OLAMIPOM_00006	CDS	1062	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
OLAMIPOM_00007	CDS	693	metP		COG2011	Methionine import system permease protein MetP
OLAMIPOM_00008	CDS	570				hypothetical protein
OLAMIPOM_00009	CDS	615				hypothetical protein
OLAMIPOM_00010	CDS	1683				hypothetical protein
OLAMIPOM_00011	CDS	1287	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
OLAMIPOM_00012	CDS	534				hypothetical protein
OLAMIPOM_00013	CDS	471			COG1780	Putative NrdI-like protein
OLAMIPOM_00014	CDS	1263				hypothetical protein
OLAMIPOM_00015	CDS	459				hypothetical protein
OLAMIPOM_00016	CDS	441			COG3279	putative HTH-type transcriptional regulator
OLAMIPOM_00017	CDS	1950	mutL		COG0323	DNA mismatch repair protein MutL
OLAMIPOM_00018	CDS	468	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
OLAMIPOM_00019	CDS	1206	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
OLAMIPOM_00020	CDS	636	ribE	2.5.1.9	COG0307	Riboflavin synthase
OLAMIPOM_00021	CDS	1101	ribD		COG0117	Riboflavin biosynthesis protein RibD
OLAMIPOM_00022	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
OLAMIPOM_00023	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
OLAMIPOM_00024	CDS	678				hypothetical protein
OLAMIPOM_00025	CDS	1032	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
OLAMIPOM_00026	CDS	684				hypothetical protein
OLAMIPOM_00027	CDS	945				hypothetical protein
OLAMIPOM_00028	CDS	2832	uvrA			UvrABC system protein A
OLAMIPOM_00029	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
OLAMIPOM_00030	CDS	399	spxA_1		COG1393	Regulatory protein Spx
OLAMIPOM_00031	CDS	570				hypothetical protein
OLAMIPOM_00032	CDS	267				hypothetical protein
OLAMIPOM_00033	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
OLAMIPOM_00034	CDS	306				hypothetical protein
OLAMIPOM_00035	CDS	1251	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
OLAMIPOM_00036	CDS	444				hypothetical protein
OLAMIPOM_00037	CDS	1533	cls	2.7.8.-		Cardiolipin synthase
OLAMIPOM_00038	CDS	144				hypothetical protein
OLAMIPOM_00039	CDS	1539				hypothetical protein
OLAMIPOM_00040	CDS	2208	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
OLAMIPOM_00041	CDS	507				hypothetical protein
OLAMIPOM_00042	CDS	591				hypothetical protein
OLAMIPOM_00043	CDS	618	udk_1	2.7.1.48		Uridine kinase
OLAMIPOM_00044	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
